a.zip_code,a.complainant_race,_c2
75001,,2
75001,L,1
75001,W,1
75007,A,1
75007,B,2
75007,U,1
75019,,16
75019,A,1
75019,B,10
75019,C,3
75019,I,1
75019,L,6
75019,W,18
75024,A,1
75032,N,1
75043,,2
75043,B,1
75043,L,2
75043,W,4
75048,B,2
75048,L,1
75052,,4
75052,B,3
75052,L,4
75052,W,1
75075,B,1
75080,,6
75080,I,1
75080,U,1
75080,W,2
75081,B,1
75081,C,1
75081,W,1
75082,B,1
75087,W,1
75088,,8
75088,L,4
75088,W,19
75089,,8
75089,L,1
75089,W,6
75115,,5
75115,B,3
75115,L,2
75115,W,2
75126,B,1
75126,W,1
75134,,20
75134,A,1
75134,B,15
75134,L,8
75134,W,3
75137,,1
75137,B,1
75154,,2
75154,W,1
75181,B,1
75181,L,2
75181,W,1
75182,,1
75201,,1062
75201,A,65
75201,B,569
75201,C,56
75201,I,3
75201,L,326
75201,N,10
75201,U,10
75201,W,1427
75202,,694
75202,A,26
75202,B,434
75202,C,30
75202,I,1
75202,L,226
75202,N,2
75202,U,8
75202,W,764
75204,,1614
75204,A,138
75204,B,849
75204,C,90
75204,I,12
75204,L,729
75204,N,4
75204,TEST,1
75204,U,13
75204,W,2494
75205,,179
75205,A,9
75205,B,36
75205,I,1
75205,L,41
75205,U,2
75205,W,268
75206,,1477
75206,A,88
75206,B,336
75206,C,64
75206,I,5
75206,L,596
75206,N,8
75206,TEST,2
75206,U,16
75206,W,2369
75209,,532
75209,A,23
75209,B,169
75209,C,11
75209,I,2
75209,L,190
75209,N,2
75209,U,4
75209,W,691
75214,,743
75214,A,21
75214,B,194
75214,C,15
75214,I,2
75214,L,381
75214,N,3
75214,TEST,1
75214,U,5
75214,W,1485
75218,,771
75218,A,29
75218,B,180
75218,C,9
75218,I,4
75218,L,416
75218,N,2
75218,U,7
75218,W,1041
75219,,971
75219,A,73
75219,B,347
75219,C,40
75219,I,8
75219,L,497
75219,N,5
75219,U,9
75219,W,1404
75225,,729
75225,A,20
75225,B,92
75225,C,12
75225,I,1
75225,L,112
75225,N,3
75225,U,8
75225,W,725
75230,,412
75230,A,36
75230,B,159
75230,C,28
75230,L,206
75230,N,4
75230,U,7
75230,W,882
75238,,1270
75238,A,55
75238,B,593
75238,C,33
75238,I,3
75238,L,715
75238,N,1
75238,TEST,1
75238,U,7
75238,W,1008
75244,,332
75244,A,21
75244,B,68
75244,C,9
75244,I,1
75244,L,115
75244,U,2
75244,W,425
75248,,513
75248,A,46
75248,B,158
75248,C,45
75248,I,2
75248,L,198
75248,N,2
75248,U,3
75248,W,945
75249,,299
75249,A,8
75249,B,395
75249,C,2
75249,L,200
75249,U,2
75249,W,158
75251,,344
75251,A,20
75251,B,159
75251,C,18
75251,I,3
75251,L,90
75251,U,4
75251,W,343
75252,,399
75252,A,67
75252,B,144
75252,C,79
75252,I,7
75252,L,129
75252,N,2
75252,U,8
75252,W,568
75254,,576
75254,A,44
75254,B,340
75254,C,50
75254,I,7
75254,L,482
75254,N,2
75254,U,11
75254,W,630
75287,,1017
75287,A,102
75287,B,977
75287,C,62
75287,I,12
75287,L,505
75287,N,5
75287,U,15
75287,W,1397
76018,,1
,,
a.zip_code,a.complainant_race,_c2
75006,,4
75006,C,1
75006,W,2
75040,,3
75040,B,1
75040,L,3
75040,W,6
75041,,1
75042,,15
75042,A,1
75042,B,4
75042,L,1
75042,W,2
75050,W,1
75051,,22
75051,A,1
75051,B,22
75051,C,2
75051,L,29
75051,W,16
75060,L,1
75060,W,3
75062,,1
75062,L,2
75062,W,2
75074,,3
75116,,15
75116,B,29
75116,L,11
75116,W,1
75141,L,1
75149,,7
75149,A,1
75149,B,1
75149,L,3
75149,W,2
75150,,9
75150,B,1
75150,L,3
75150,W,1
75159,,2
75159,L,1
75159,W,4
75180,,4
75180,L,1
75203,,1246
75203,A,12
75203,B,894
75203,C,15
75203,L,719
75203,TEST,1
75203,U,2
75203,W,260
75207,,795
75207,A,32
75207,B,231
75207,C,18
75207,I,2
75207,L,222
75207,N,3
75207,U,9
75207,W,699
75208,,1339
75208,A,20
75208,B,293
75208,C,17
75208,I,3
75208,L,1442
75208,N,2
75208,U,6
75208,W,938
75210,,792
75210,A,10
75210,B,1055
75210,C,9
75210,I,2
75210,L,274
75210,U,7
75210,W,159
75211,,2778
75211,A,45
75211,B,790
75211,C,23
75211,I,5
75211,L,3186
75211,N,2
75211,U,9
75211,W,753
75212,,1537
75212,A,24
75212,B,791
75212,C,7
75212,I,2
75212,L,966
75212,N,1
75212,U,6
75212,W,232
75215,,2018
75215,A,27
75215,B,2450
75215,C,27
75215,I,1
75215,L,471
75215,N,4
75215,U,6
75215,W,513
75216,,3061
75216,A,25
75216,B,4093
75216,C,36
75216,I,2
75216,L,1463
75216,N,2
75216,U,6
75216,W,348
75217,,3990
75217,A,27
75217,B,2791
75217,C,36
75217,I,5
75217,L,3400
75217,N,3
75217,U,16
75217,W,873
75220,,2963
75220,A,59
75220,B,574
75220,C,87
75220,I,11
75220,L,3165
75220,N,2
75220,U,13
75220,W,1365
75223,,806
75223,A,10
75223,B,298
75223,C,11
75223,I,1
75223,L,668
75223,N,1
75223,U,2
75223,W,323
75224,,1461
75224,A,20
75224,B,1266
75224,C,12
75224,I,1
75224,L,1319
75224,N,1
75224,U,8
75224,W,394
75226,,660
75226,A,20
75226,B,299
75226,C,13
75226,L,251
75226,N,2
75226,U,4
75226,W,564
75227,,2293
75227,A,40
75227,B,1906
75227,C,27
75227,I,5
75227,L,2216
75227,N,3
75227,U,16
75227,W,703
75228,,2787
75228,A,68
75228,B,1934
75228,C,62
75228,I,9
75228,L,2372
75228,N,4
75228,U,13
75228,W,1692
75229,,1877
75229,A,152
75229,B,364
75229,C,71
75229,I,16
75229,L,1155
75229,N,5
75229,U,15
75229,W,1153
75231,,1956
75231,A,171
75231,B,1296
75231,C,176
75231,I,10
75231,L,1296
75231,N,16
75231,U,19
75231,W,1425
75232,,1233
75232,A,13
75232,B,1626
75232,C,10
75232,I,1
75232,L,475
75232,U,34
75232,W,216
75233,,522
75233,A,7
75233,B,502
75233,C,6
75233,I,1
75233,L,574
75233,N,2
75233,U,2
75233,W,184
75234,,252
75234,A,14
75234,B,47
75234,C,9
75234,L,180
75234,N,1
75234,U,1
75234,W,138
75235,,1217
75235,A,47
75235,B,435
75235,C,40
75235,I,5
75235,L,581
75235,N,6
75235,U,11
75235,W,854
75236,,648
75236,A,14
75236,B,659
75236,C,8
75236,L,401
75236,U,3
75236,W,170
75237,,1775
75237,A,20
75237,B,2443
75237,C,24
75237,I,3
75237,L,501
75237,N,4
75237,U,6
75237,W,271
75240,,1376
75240,A,93
75240,B,509
75240,C,92
75240,I,8
75240,L,1246
75240,N,1
75240,U,14
75240,W,1037
75241,,1886
75241,A,10
75241,B,2540
75241,C,36
75241,I,1
75241,L,443
75241,N,2
75241,U,7
75241,W,337
75243,,2983
75243,A,255
75243,B,2781
75243,C,256
75243,I,13
75243,L,1341
75243,N,14
75243,U,28
75243,W,1830
75246,,162
75246,A,9
75246,B,79
75246,C,4
75246,I,1
75246,L,106
75246,N,1
75246,U,3
75246,W,142
75247,,1201
75247,A,32
75247,B,352
75247,C,23
75247,I,2
75247,L,289
75247,N,1
75247,U,6
75247,W,488
75253,,719
75253,A,7
75253,B,213
75253,C,14
75253,I,2
75253,L,580
75253,N,2
75253,U,1
75253,W,486
